k	program	signature	category	signature_genes_in_background	top_n	overlap_n	overlap_top50_n	overlap_genes	overlap_top50_genes	p_value	neg_log10_p
7	3	paracrine_communication	communication	12	100	9	7	ANGPTL4,BMP2,CCN1,CCN2,IL11,INHBA,MIF,TNFRSF12A,VEGFA	ANGPTL4,BMP2,CCN1,INHBA,MIF,TNFRSF12A,VEGFA	6.420909104620564e-12	11.192403477979648
7	3	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
7	3	generic_stress	generic_stress	14	100	3	3	HMOX1,HSPA5,PPP1R15A	HMOX1,HSPA5,PPP1R15A	0.009672696775446087	2.014452426494684
7	3	immune_contamination	contamination	13	100	0	0			1.0	-0.0
7	3	mural_contamination	contamination	10	100	0	0			1.0	-0.0
7	3	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
7	3	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
7	4	senescence_core	senescence	15	100	0	0			1.0	-0.0
7	4	sasp_inflammatory	sasp	20	100	0	0			1.0	-0.0
7	4	ecm_degradation	ecm_remodeling	17	100	1	1	MMP2	MMP2	0.43477131809319347	0.3617391140906241
7	4	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
7	4	angiogenesis_hypoxia	communication	9	100	1	1	CXCL12	CXCL12	0.26039353388855496	0.5843698044025643
7	4	paracrine_communication	communication	12	100	1	1	CXCL12	CXCL12	0.3312769380627967	0.4798087965982188
7	4	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
7	4	generic_stress	generic_stress	14	100	2	0	JUN,PPP1R15A		0.07548825739871948	1.1221205999412116
7	4	immune_contamination	contamination	13	100	0	0			1.0	-0.0
7	4	mural_contamination	contamination	10	100	0	0			1.0	-0.0
7	4	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
7	4	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
7	5	senescence_core	senescence	15	100	2	0	IGFBP7,SERPINE1		0.08528558800432069	1.0691243519392781
7	5	sasp_inflammatory	sasp	20	100	1	0	SERPINE1		0.4890811644551101	0.31061906245110604
7	5	ecm_degradation	ecm_remodeling	17	100	5	5	COL1A1,COL1A2,COL3A1,POSTN,TGFBI	COL1A1,COL1A2,COL3A1,POSTN,TGFBI	0.00015794076795008926	3.801505754662355
7	5	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
7	5	angiogenesis_hypoxia	communication	9	100	1	1	ANGPTL2	ANGPTL2	0.26039353388855496	0.5843698044025643
7	5	paracrine_communication	communication	12	100	0	0			1.0	-0.0
7	5	progenitor_interface	progenitor_interface	8	100	1	1	THY1	THY1	0.23515099238304482	0.6286531841066286
7	5	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
7	5	immune_contamination	contamination	13	100	0	0			1.0	-0.0
7	5	mural_contamination	contamination	10	100	1	0	TAGLN		0.2848110468007849	0.5454431699804685
7	5	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
7	5	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
7	6	senescence_core	senescence	15	100	0	0			1.0	-0.0
7	6	sasp_inflammatory	sasp	20	100	1	0	CXCL1		0.4890811644551101	0.31061906245110604
7	6	ecm_degradation	ecm_remodeling	17	100	3	2	FN1,HTRA1,TIMP3	HTRA1,TIMP3	0.016822689959406997	1.7741045590065203
7	6	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
7	6	angiogenesis_hypoxia	communication	9	100	0	0			1.0	-0.0
7	6	paracrine_communication	communication	12	100	1	1	HBEGF	HBEGF	0.3312769380627967	0.4798087965982188
7	6	progenitor_interface	progenitor_interface	8	100	5	5	HBEGF,ITGBL1,PRG4,SPARCL1,TIMP3	HBEGF,ITGBL1,PRG4,SPARCL1,TIMP3	1.8119298257958483e-06	5.7418586261182485
7	6	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
7	6	immune_contamination	contamination	13	100	0	0			1.0	-0.0
7	6	mural_contamination	contamination	10	100	0	0			1.0	-0.0
7	6	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
7	6	cycling_contamination	contamination	10	100	0	0			1.0	-0.0
7	7	senescence_core	senescence	15	100	1	0	LMNB1		0.3954283587985156	0.4029321877586527
7	7	sasp_inflammatory	sasp	20	100	0	0			1.0	-0.0
7	7	ecm_degradation	ecm_remodeling	17	100	0	0			1.0	-0.0
7	7	fibrocartilage_matrix	fibrocartilage	16	100	0	0			1.0	-0.0
7	7	angiogenesis_hypoxia	communication	9	100	0	0			1.0	-0.0
7	7	paracrine_communication	communication	12	100	1	0	TNFRSF12A		0.3312769380627967	0.4798087965982188
7	7	progenitor_interface	progenitor_interface	8	100	0	0			1.0	-0.0
7	7	generic_stress	generic_stress	14	100	0	0			1.0	-0.0
7	7	immune_contamination	contamination	13	100	12	5	AIF1,C1QA,C1QB,C1QC,CYBB,FOLR2,HLA-DQA1,HLA-DRA,MARCO,MS4A6A,PTPRC,TYROBP	C1QA,HLA-DQA1,HLA-DRA,PTPRC,TYROBP	1.0524942654286188e-17	16.977780261762597
7	7	mural_contamination	contamination	10	100	0	0			1.0	-0.0
7	7	endothelial_contamination	contamination	7	100	0	0			1.0	-0.0
7	7	cycling_contamination	contamination	10	100	10	10	ASPM,BIRC5,CCNB2,CENPF,CEP55,MKI67,PIMREG,TOP2A,TPX2,UBE2C	ASPM,BIRC5,CCNB2,CENPF,CEP55,MKI67,PIMREG,TOP2A,TPX2,UBE2C	9.519843714272747e-16	15.021370181298938
8	1	senescence_core	senescence	15	100	2	2	BTG2,GADD45B	BTG2,GADD45B	0.08528558800432069	1.0691243519392781
8	1	sasp_inflammatory	sasp	20	100	1	1	SOCS3	SOCS3	0.4890811644551101	0.31061906245110604
