reference_name	gene	state	mean_expression	marker_score	marker_rank
GSE220243_broad	RSL24D1	inflammatory_like	1.4727587699890137	0.27533626556396484	44
GSE220243_broad	RBP4	inflammatory_like	0.9719609022140503	0.2687634825706482	45
GSE220243_broad	MXI1	inflammatory_like	0.8019353747367859	0.2683897018432617	46
GSE220243_broad	PRDX6	inflammatory_like	1.383301854133606	0.2679239511489868	47
GSE220243_broad	ACKR3	inflammatory_like	1.2933690547943115	0.2657812833786011	48
GSE220243_broad	RPLP0	inflammatory_like	2.859978675842285	0.2636446952819824	49
GSE220243_broad	BCL6	inflammatory_like	0.7674129605293274	0.2618969678878784	50
GSE220243_broad	CCNG2	inflammatory_like	0.5787965059280396	0.2603782117366791	51
GSE220243_broad	NNMT	inflammatory_like	3.3401055335998535	0.25902366638183594	52
GSE220243_broad	RNMT	inflammatory_like	0.7279946208000183	0.2540596127510071	53
GSE220243_broad	HMGB2	inflammatory_like	0.8448856472969055	0.25401270389556885	54
GSE220243_broad	PHF3	inflammatory_like	0.7562099099159241	0.25005042552948	55
GSE220243_broad	NPM1	inflammatory_like	2.4646084308624268	0.23811888694763184	56
GSE220243_broad	PTGES3	inflammatory_like	1.501879096031189	0.23412060737609863	57
GSE220243_broad	RPL22L1	inflammatory_like	0.974326491355896	0.23410075902938843	58
GSE220243_broad	CIRBP	inflammatory_like	2.187199354171753	0.23198962211608887	59
GSE220243_broad	RPL22	inflammatory_like	2.9628584384918213	0.23183155059814453	60
GSE220243_broad	HSPA2	inflammatory_like	0.5484132766723633	-0.2635481357574463	36446
GSE220243_broad	NRN1	inflammatory_like	0.8741294741630554	-0.2698470950126648	36503
GSE220243_broad	MT1M	inflammatory_like	1.6995948553085327	-0.30078017711639404	36727
GSE220243_broad	KCNMA1	inflammatory_like	0.6499871611595154	-0.30202096700668335	36738
GSE220243_broad	PPP1R3C	inflammatory_like	0.5051431655883789	-0.30206769704818726	36739
GSE220243_broad	ANK3	inflammatory_like	0.28361406922340393	-0.31635650992393494	36823
GSE220243_broad	FRZB	inflammatory_like	0.6114276051521301	-0.32225173711776733	36860
GSE220243_broad	MT1E	inflammatory_like	2.5890121459960938	-0.32534146308898926	36878
GSE220243_broad	ITGB8	inflammatory_like	0.14935745298862457	-0.3291122317314148	36899
GSE220243_broad	WWP2	inflammatory_like	0.426113098859787	-0.33157387375831604	36909
GSE220243_broad	VEGFB	inflammatory_like	0.4274415671825409	-0.3354629576206207	36932
GSE220243_broad	PLP2	inflammatory_like	0.8918510675430298	-0.3413470983505249	36955
GSE220243_broad	CREB5	inflammatory_like	0.3366190195083618	-0.34720945358276367	36984
