axis	omitted_dataset_id	omitted_tissue	baseline_evidence_grade	n_cohorts	random_effect_smd	random_effect_se	ci95_low	ci95_high	z_score	random_effect_p	tau2	i2_percent	positive_cohorts	negative_cohorts	direction_consistency	contributing_datasets	evidence_grade	grade_changed	smd_shift_from_overall	abs_smd_shift_from_overall
MSP_paracrine_K12P8	GSE191157	meniscus	heterogeneous_or_inconsistent	8	-0.6479054522244142	0.41677569659189306	-1.4647858175445245	0.16897491309569623	-1.5545662991449414	0.12004939525700795	1.099981061815688	82.96508275028174	3	5	0.625	GSE114007,GSE143514,GSE169077,GSE185064,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	-0.1670762505979439	0.1670762505979439
MSP_paracrine_K12P8	GSE55235	synovium	heterogeneous_or_inconsistent	8	-0.3863662883804787	0.4462569814357674	-1.2610299719945828	0.48829739523362536	-0.8657932636423994	0.38660354399889063	1.2600375875128313	83.62707310496882	4	4	0.5	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	0.0944629132459916	0.0944629132459916
MSP_paracrine_K12P8	GSE55457	synovium	heterogeneous_or_inconsistent	8	-0.3832484762277002	0.4452571565962317	-1.2559525031563143	0.48945555070091395	-0.8607351292395683	0.38938394054370773	1.2532557375401934	83.56639095556645	4	4	0.5	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	0.09758072539877011	0.09758072539877011
MSP_paracrine_K12P8	GSE89408	synovium	heterogeneous_or_inconsistent	8	-0.7114842320623328	0.34782125902526057	-1.3932138997518435	-0.02975456437282209	-2.045545559970103	0.04080110233295488	0.6243285877502068	67.68250311680455	3	5	0.625	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE98918	strong_consistent	True	-0.2306550304358625	0.2306550304358625
MSP_paracrine_K12P8	GSE98918	meniscus	heterogeneous_or_inconsistent	8	-0.4282738421220123	0.46308028083908076	-1.3359111925666105	0.47936350832258595	-0.9248371391370828	0.35505062880201943	1.3724692405334498	84.21133621331408	4	4	0.5	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408	heterogeneous_or_inconsistent	False	0.052555359504458	0.052555359504458
MSP_paracrine_consensus_K12P8_K14P9	GSE114007	cartilage	heterogeneous_or_inconsistent	8	-0.38897616333398793	0.3659955187914231	-1.1063273801651772	0.32837505349720136	-1.0627894150683885	0.28787746077962073	0.7443121573481003	73.8302964631813	3	5	0.625	GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	not_supported	True	0.2626139119945797	0.2626139119945797
MSP_paracrine_consensus_K12P8_K14P9	GSE143514	cartilage	heterogeneous_or_inconsistent	8	-0.5870696016999712	0.46371405925578335	-1.4959491578413067	0.32180995444136407	-1.2660163951944043	0.20550721252484982	1.432929761262791	86.02501761487515	3	5	0.625	GSE114007,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	0.06452047362859636	0.06452047362859636
MSP_paracrine_consensus_K12P8_K14P9	GSE169077	cartilage	heterogeneous_or_inconsistent	8	-0.7036815191163759	0.4785540681707398	-1.641647492731026	0.23428445449827418	-1.4704326343022842	0.14144461824135313	1.514187565212144	86.16070786301853	3	5	0.625	GSE114007,GSE143514,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	-0.05209144378780828	0.05209144378780828
MSP_paracrine_consensus_K12P8_K14P9	GSE185064	meniscus	heterogeneous_or_inconsistent	8	-0.7664976792927761	0.4644247628658931	-1.6767702145099266	0.14377485592437433	-1.6504237942930473	0.0988562877854668	1.4241125279912303	85.75048038344173	2	6	0.75	GSE114007,GSE143514,GSE169077,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	-0.11490760396420852	0.11490760396420852
MSP_paracrine_consensus_K12P8_K14P9	GSE191157	meniscus	heterogeneous_or_inconsistent	8	-0.8136784037698467	0.4539990612511527	-1.703516563822106	0.07615975628241256	-1.7922468859901872	0.07309342722546575	1.3528490020090547	85.18830979658102	2	6	0.75	GSE114007,GSE143514,GSE169077,GSE185064,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	-0.16208832844127907	0.16208832844127907
MSP_paracrine_consensus_K12P8_K14P9	GSE55235	synovium	heterogeneous_or_inconsistent	8	-0.5528824337951725	0.4757052417729969	-1.4852647076702463	0.37949984007990134	-1.1622374219265048	0.24513903780799873	1.4782146943333643	85.33685472686115	3	5	0.625	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	0.09870764153339506	0.09870764153339506
MSP_paracrine_consensus_K12P8_K14P9	GSE55457	synovium	heterogeneous_or_inconsistent	8	-0.5952480325683386	0.48788552891579506	-1.5515036692432969	0.3610076041066197	-1.2200567495640424	0.22244336265720577	1.5680020924234306	85.8958909879887	3	5	0.625	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	0.05634204276022903	0.05634204276022903
MSP_paracrine_consensus_K12P8_K14P9	GSE89408	synovium	heterogeneous_or_inconsistent	8	-0.8835840838703823	0.3771428976192674	-1.6227841632041464	-0.14438400453661826	-2.34283633457782	0.019137776113642875	0.7887878520103375	71.73871701797331	2	6	0.75	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE98918	strong_consistent	True	-0.23199400854181473	0.23199400854181473
MSP_paracrine_consensus_K12P8_K14P9	GSE98918	meniscus	heterogeneous_or_inconsistent	8	-0.5899085256012894	0.4921508956197773	-1.554524281016053	0.37470722981347415	-1.198633449317213	0.23067050584985016	1.5957900013940471	85.76262585036896	3	5	0.625	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE55235,GSE55457,GSE89408	heterogeneous_or_inconsistent	False	0.06168154972727824	0.06168154972727824
