fibro_leiden	program_gene_rank	gene	present	score	logfoldchanges	pvals_adj
2	6	EEF1G	True	72.43606	3.3017995	0.0
2	7	SERPINA3	True	69.89523	4.4809375	0.0
2	8	SNHG29	True	65.563065	3.1451943	0.0
2	9	MRPS24	True	60.039455	3.0728228	0.0
2	10	RNASEK	True	59.621155	2.7405026	0.0
2	11	ECRG4	True	59.47598	3.6970665	0.0
2	12	RBIS	True	58.93871	3.1364021	0.0
2	13	ATP6V0C	True	58.533375	2.9633884	0.0
2	14	RPS17	True	58.311005	2.6134818	0.0
2	15	LINC01578	True	57.894928	2.9218652	0.0
2	16	DANCR	True	56.4065	3.291831	0.0
2	17	RPL36A	True	54.361374	2.0749915	0.0
2	18	CCNB1IP1	True	53.688732	2.3640382	0.0
2	19	LINC00632	True	53.587303	2.8360868	0.0
2	20	SNHG1	True	51.808468	3.5866745	0.0
2	21	CIAO2B	True	51.590443	2.8474321	0.0
2	22	NME2	True	50.77828	2.5573404	0.0
2	23	POLD4	True	50.71308	3.0012608	0.0
2	24	EPB41L4A-AS1	True	49.116802	1.8273858	0.0
2	25	SSR3	True	47.94467	1.7532586	0.0
2	26	SEPTIN7	True	47.5194	2.4818149	0.0
2	27	SNHG16	True	47.169216	3.0028667	0.0
2	28	S100A1	True	46.165096	2.880232	0.0
2	29	MIF	True	45.765274	1.9004493	0.0
2	30	MT1E	True	43.498756	2.5755265	0.0
3	1	GSN	True	93.22262	3.4864717	0.0
3	2	CFD	True	80.34832	4.968985	0.0
3	3	C1R	True	77.59906	2.9267707	0.0
3	4	C1S	True	77.52685	2.797587	0.0
3	5	SELENOP	True	69.4254	3.1057718	0.0
3	6	SERPING1	True	69.41938	2.2198157	0.0
3	7	GPX3	True	65.064674	2.9140787	0.0
3	8	MT-CO2	True	57.635754	2.0924613	0.0
3	9	ZFP36L2	True	57.098526	2.391134	0.0
3	10	MMP2	True	56.859516	3.2363725	0.0
3	11	CEBPD	True	55.69413	1.9417359	0.0
3	12	EFEMP1	True	55.179703	3.1596925	0.0
3	13	MT-CYB	True	54.98297	2.056282	0.0
3	14	GPNMB	True	54.86872	2.5648718	0.0
3	15	SERPINF1	True	54.60471	3.0845666	0.0
3	16	GLUL	True	53.715744	2.7657287	0.0
3	17	WISP2	True	53.056892	3.674723	0.0
3	18	PLTP	True	53.010048	3.094476	0.0
3	19	MT-ND2	True	51.873882	1.7171371	0.0
3	20	SRPX	True	51.009876	4.1300087	0.0
3	21	JUN	True	49.970592	1.9301343	0.0
3	22	FBLN2	True	49.526882	3.245352	0.0
3	23	SUN2	True	49.222134	2.058753	0.0
3	24	CYP1B1	True	48.013695	2.6477437	0.0
3	25	CYBRD1	True	47.637695	1.6818231	0.0
3	26	ADH5	True	47.34833	2.1137438	0.0
3	27	MGST1	True	46.822502	2.3883266	0.0
3	28	EBF1	True	46.783905	2.4689493	0.0
3	29	MT-ND1	True	46.355427	1.629824	0.0
3	30	C3	True	46.11355	4.138969	0.0
4	1	GLRX	True	107.50338	3.7008286	0.0
4	2	RPS25	True	79.95218	1.1782501	0.0
4	3	RPL21	True	78.0386	1.1646863	0.0
4	4	RPL13	True	76.527565	0.9249061	0.0
4	5	SLC25A37	True	76.229576	2.2887511	0.0
4	6	RPS4Y1	True	75.25604	2.435596	0.0
4	7	RPL37A	True	73.43591	1.1734322	0.0
4	8	RPS27	True	73.39973	1.0681636	0.0
4	9	SNHG8	True	73.25471	1.8768457	0.0
4	10	SOD2	True	71.29284	2.2911675	0.0
4	11	RPL34	True	71.17757	1.0492727	0.0
4	12	GPX3	True	68.26831	2.110356	0.0
4	13	RPL41	True	67.6272	0.94692224	0.0
4	14	RPS27A	True	66.90732	0.99105936	0.0
4	15	RPS23	True	63.93242	0.90192175	0.0
4	16	PNRC1	True	63.494835	1.4149907	0.0
4	17	RPS20	True	63.050568	1.2769696	0.0
4	18	RPL24	True	62.56625	1.0168895	0.0
4	19	MT1X	True	61.921734	2.0522363	0.0
4	20	RPS6	True	61.38106	0.9344617	0.0
4	21	RPL26	True	61.037647	0.9573076	0.0
4	22	MMP3	True	60.418385	3.2164764	0.0
4	23	SAT1	True	60.293953	1.6226597	0.0
4	24	NNMT	True	59.452473	1.2432506	0.0
4	25	RPL32	True	59.129585	0.88227576	0.0
4	26	EIF1	True	58.442806	0.872489	0.0
4	27	RPL36AL	True	58.09312	1.2078612	0.0
4	28	IFITM2	True	57.98815	1.5763429	0.0
4	29	SLC39A14	True	57.81177	1.6920589	0.0
4	30	RPL30	True	57.549847	0.8691977	0.0
5	1	CFD	True	70.49536	4.6951113	0.0
5	2	MTRNR2L1	True	58.59619	4.5430546	0.0
5	3	MGST1	True	56.994457	3.19481	0.0
5	4	IFITM2	True	51.420856	2.017458	0.0
5	5	PLA2G2A	True	49.129982	3.820502	0.0
