sample_id	sample_title	source_name	series_title	platform_id	age	sex	bmi	disease_state	dataset_id	tissue	condition	contrast_group	score_Fibrocartilage_matrix	score_Fibrotic_remodeling	score_MSP_paracrine	score_MSP_angiogenic	score_MSP_inflammatory	score_MSP_paracrine_consensus	score_MSP_interface_matrix_fibrotic	primary_oa_normal	gse89408_oa_normal_sensitivity	gse98918_oa_apm_exploratory	gse191157_aged_young_exploratory
NA1	NA1		GSE185064 meniscus FPKM matrix	supplement_fpkm				normal	GSE185064	meniscus	normal	normal	-0.3087043695493959	0.0792577309433802	-0.3691156007369923	-0.581242306274037	-0.3816368320687666	-0.5002685081982686	-0.2294466386060157	True	False	False	False
NA2	NA2		GSE185064 meniscus FPKM matrix	supplement_fpkm				normal	GSE185064	meniscus	normal	normal	-0.4807496089482808	0.4137779567461631	0.1102556986208594	0.2577233253220457	0.537041401205469	0.2924022736916892	-0.0669716522021177	True	False	False	False
NA3	NA3		GSE185064 meniscus FPKM matrix	supplement_fpkm				normal	GSE185064	meniscus	normal	normal	0.4523171206109111	-0.4569450676148757	0.1628454605078036	0.2137233526429645	-0.2814478317372966	0.2202560374244958	-0.004627947003964572	True	False	False	False
NA4	NA4		GSE185064 meniscus FPKM matrix	supplement_fpkm				normal	GSE185064	meniscus	normal	normal	0.1184733378136133	0.0766839875911848	-0.2662904533574037	-0.4508364155456982	0.1075215521343542	-0.3250484075722674	0.1951573254047981	True	False	False	False
OA1	OA1		GSE185064 meniscus FPKM matrix	supplement_fpkm				OA	GSE185064	meniscus	OA	OA	-0.3273160207458453	0.4618217104350527	0.0117463653866553	0.2517339142444564	-0.2839443667920157	0.1837276585918544	0.1345056896892074	True	False	False	False
OA2	OA2		GSE185064 meniscus FPKM matrix	supplement_fpkm				OA	GSE185064	meniscus	OA	OA	0.3674354228400392	-0.4538319995577072	0.5030987946936841	0.6591644476445566	0.3178371260302029	0.4504503763306904	-0.08639657671766798	True	False	False	False
OA3	OA3		GSE185064 meniscus FPKM matrix	supplement_fpkm				OA	GSE185064	meniscus	OA	OA	-0.6934167441957287	-0.5578217777494482	-0.0685377371699678	-0.0360011837750371	0.2141332481073132	-0.1188230771425062	-1.251238521945177	True	False	False	False
OA4	OA4		GSE185064 meniscus FPKM matrix	supplement_fpkm				OA	GSE185064	meniscus	OA	OA	0.8719608621746872	0.43705745920625	-0.084002527944639	-0.3142651342592511	-0.22950429687926	-0.2026963531256877	1.3090183213809372	True	False	False	False
GSM5740181	Aging-1	Meniscus_aged	Integrated Analysis of lncRNA and mRNA Expression Profiles Indicates Age-related Changes in Meniscus	GPL26963	aged				GSE191157	meniscus	aged	aged	-0.0798963761846567	-0.6409401138362161	0.1214019848441211	0.3867438264347475	-0.3610189258309423	0.2062642572713226	-0.7208364900208728	False	False	False	True
GSM5740182	Aging-3	Meniscus_aged	Integrated Analysis of lncRNA and mRNA Expression Profiles Indicates Age-related Changes in Meniscus	GPL26963	aged				GSE191157	meniscus	aged	aged	0.5601647145882465	-0.0762517558951065	0.1194362072853854	0.0336448452733715	-0.2406950628999666	0.0753711287712326	0.48391295869314	False	False	False	True
