k	program	mean_usage	median_usage	q95_usage	dominant_sample	dominant_sample_fraction	dominant_disease_status	dominant_disease_fraction	n_samples_detected
18	17	0.002217199379368552	0.0	0.008105592038096254	MenOA4	0.23525139807959608	OA	0.5896173756602835	14
18	18	0.0015964198320212396	0.0	0.006262585269600852	MenOA1	0.15500868792981773	OA	0.5212917524968003	14
20	1	0.13033856067634905	0.09610678025945273	0.40993873739060877	MenOA4	0.11273947390398674	OA	0.5777860013793422	14
20	2	0.13341420744501958	0.07288418680502687	0.500739063763087	MenNorm3	0.2416999483107607	normal	0.6760053402395204	14
20	3	0.11297522088720152	0.02964892259597507	0.5480845894906791	MenNorm4	0.23910321366394408	normal	0.8432228409945907	14
20	4	0.07768378286831375	0.01231546306221265	0.3840995817193955	MenNorm1VAS	0.31978398223107934	normal	0.9093876537501705	14
20	5	0.07835440822413782	0.01677281279257617	0.3442792241099834	MenOA1	0.20873486722652726	OA	0.7516574487984682	14
20	6	0.0636574452561872	0.009102420100071913	0.27972969967803063	MenNorm7	0.2706803348399286	normal	0.6340875760293193	14
20	7	0.04978322532634712	0.0	0.32595050049077	MenNorm7	0.16897538198888085	normal	0.6840112121795203	14
20	8	0.0485698741562666	0.0	0.28089595013304847	MenNorm6	0.2842573115781865	normal	0.5056833972941955	14
20	9	0.05385657016994261	0.024075592918454757	0.20788449828829894	MenOA5	0.13283311679840773	normal	0.6219465378941628	14
20	10	0.046743325955143876	0.0	0.36253558061281205	MenNorm6	0.2563573641841859	normal	0.5786217525337722	14
20	11	0.044077478199292426	0.0	0.2522131700074313	MenNorm5	0.39893705745796965	normal	0.7636601830432657	14
20	12	0.04366649332629151	0.004297062667068009	0.21211583583369922	MenOA1	0.23143156572394036	OA	0.8262849809248386	14
20	13	0.04455831339481189	0.0006018033441610683	0.22374899626916947	MenNorm3	0.11934045101972096	normal	0.5153042703921948	14
20	14	0.047388344892405114	0.0	0.25973945767172224	MenOA1	0.14752108899063987	OA	0.6882437428925101	14
20	15	0.009385027770964643	0.0	0.04469950744193506	MenNorm6	0.22410134922812391	normal	0.6477535739049947	14
20	16	0.005454119908991505	0.0	0.02506141880184889	MenNorm3	0.09445016705670772	normal	0.5565082045035034	14
