dataset_id	tissue	axis	contrast	group_a	group_b	n_group_a	n_group_b	mean_delta_group_a_minus_group_b	p_value	fdr_bh	n_present_genes	smd_hedges_g	se_smd	ci95_low	ci95_high	direction
GSE89408	synovium	MSP_inflammatory_K14P10	OA_vs_normal	OA	normal	22	28	0.5214473580780581	0.0252343034531114	0.0569810839171031	20	0.5453293396297663	0.2902870684208713	-0.023633314475141498	1.114291993734674	positive
GSE89408	synovium	Fibrocartilage_matrix_K14P4	OA_vs_normal	OA	normal	22	28	0.3046973088748511	0.0067923968313859	0.0213960500188657	20	0.7014157200824812	0.2937578333102125	0.12565036679446473	1.2771810733704978	positive
GSE89408	synovium	Fibrotic_remodeling_K14P7	OA_vs_normal	OA	normal	22	28	0.2589730955363672	0.577523184728829	0.7206217529856923	20	0.3054326373985904	0.2866018014342819	-0.25630689341260204	0.8671721682097828	positive
GSE89408	synovium	Generic_stress_K14P1	OA_vs_normal	OA	normal	22	28	0.5451118752317052	0.0007479983979218	0.0042839908244615	19	0.8442719129624933	0.297647072456506	0.26088365094774146	1.427660174977245	positive
GSE89408	synovium	MSP_paracrine_consensus_K12P8_K14P9	OA_vs_normal	OA	normal	22	28	0.4991007948694291	0.006033726291844	0.0200065661255881	27	0.7095167753839496	0.2939604183736419	0.13335435537161155	1.2856791953962876	positive
GSE98918	meniscus	MSP_paracrine_K12P8	OA_vs_APM	OA	APM	12	12	-0.5134873528074186	0.0193733193315928	0.0508549632454313	20	-0.830758327483922	0.42702705715896483	-1.667731359515493	0.0062147045476490526	negative
GSE98918	meniscus	MSP_angiogenic_K14P9	OA_vs_APM	OA	APM	12	12	-0.6423173049660298	0.026229387834857	0.0569810839171031	19	-1.0035873664008195	0.43538177957378205	-1.8569356543654323	-0.15023907843620665	negative
GSE98918	meniscus	MSP_inflammatory_K14P10	OA_vs_APM	OA	APM	12	12	0.0504589166334484	0.9309874465595672	0.9615116251352904	20	0.10834823314562853	0.40857492561338105	-0.6924586210565984	0.9091550873478553	positive
GSE98918	meniscus	Fibrocartilage_matrix_K14P4	OA_vs_APM	OA	APM	12	12	-0.1808723859873077	0.5833604667027033	0.7206217529856923	20	-0.22536048595770328	0.40965952276262363	-1.0282931505724455	0.577572178657039	negative
GSE98918	meniscus	Fibrotic_remodeling_K14P7	OA_vs_APM	OA	APM	12	12	-1.087060867381659	0.00090093559636	0.0045358930816953	20	-1.397593007026266	0.45941166790259763	-2.2980398761153573	-0.49714613793717477	negative
GSE98918	meniscus	Generic_stress_K14P1	OA_vs_APM	OA	APM	12	12	-0.5195214897520609	0.0303828219765775	0.0580035692280115	19	-0.9634955087512082	0.43331850894938184	-1.8127997862919965	-0.11419123121041974	negative
GSE98918	meniscus	MSP_paracrine_consensus_K12P8_K14P9	OA_vs_APM	OA	APM	12	12	-0.6610765836894006	0.0101931049911082	0.0305793149733247	28	-1.0843450860159618	0.4397607200331763	-1.9462760972809874	-0.22241407475093633	negative
