leiden	rank	gene	score	logfoldchanges	pvals	pvals_adj
2	59	SSPN	51.797337	1.3772664	0.0	0.0
2	60	LGALS1	51.765694	1.2286929	0.0	0.0
2	61	NBL1	51.479507	1.4539214	0.0	0.0
2	62	CFH	51.349964	1.6781375	0.0	0.0
2	63	GPX4	50.06764	1.0093588	0.0	0.0
2	64	MT-ND3	49.78599	1.4126397	0.0	0.0
2	65	SELENOP	49.764965	1.6497886	0.0	0.0
2	66	FKBP2	49.123955	1.3952925	0.0	0.0
2	67	MGST3	48.8737	0.96078944	0.0	0.0
2	68	TIMP1	48.676105	1.020176	0.0	0.0
2	69	PPIC	48.405453	1.4214361	0.0	0.0
2	70	PLA2G2A	48.39752	2.2469459	0.0	0.0
2	71	MGST1	48.29148	1.7308849	0.0	0.0
2	72	CRISPLD1	48.18341	2.1923916	0.0	0.0
2	73	PDGFRB	48.1683	1.7326907	0.0	0.0
2	74	PDGFRA	47.948227	1.5726067	0.0	0.0
2	75	DDAH2	47.64086	1.2750498	0.0	0.0
2	76	BLOC1S1	47.534386	1.4297285	0.0	0.0
2	77	MTRNR2L8	47.40381	1.7089707	0.0	0.0
2	78	ITM2B	47.322605	0.709305	0.0	0.0
2	79	ATP5F1E	46.749504	0.94626546	0.0	0.0
2	80	FCGRT	46.69648	1.1595572	0.0	0.0
2	81	ISLR	46.457714	1.341072	0.0	0.0
2	82	PDGFRL	46.35654	1.4725754	0.0	0.0
2	83	LAMA4	46.264767	1.938756	0.0	0.0
2	84	MYL9	46.04843	1.6427236	0.0	0.0
2	85	SSC5D	46.007626	1.8823109	0.0	0.0
2	86	FAP	45.941128	2.0611312	0.0	0.0
2	87	MINOS1	45.647728	1.3818728	0.0	0.0
2	88	DPT	45.375034	1.5973083	0.0	0.0
2	89	TIMP3	45.22278	1.4309627	0.0	0.0
2	90	RARRES3	45.15376	2.7061498	0.0	0.0
2	91	SEPT2	44.823895	1.4926702	0.0	0.0
2	92	CD63	44.761448	0.70577	0.0	0.0
2	93	LGALS3BP	44.712433	2.3015301	0.0	0.0
2	94	SFRP4	44.696445	3.1133718	0.0	0.0
2	95	ARL6IP5	44.368587	0.87081856	0.0	0.0
2	96	POLR2L	44.124615	1.1452794	0.0	0.0
2	97	ANK2	43.880257	1.8055038	0.0	0.0
2	98	THY1	43.769123	1.8693849	0.0	0.0
2	99	SEPT7	43.693165	1.1731155	0.0	0.0
2	100	C1QTNF3	43.63629	2.1577415	0.0	0.0
3	1	PECAM1	104.78015	7.734171	0.0	0.0
3	2	GNG11	102.04289	4.196672	0.0	0.0
3	3	EMCN	83.25299	9.304351	0.0	0.0
3	4	IFI27	82.66807	4.4493275	0.0	0.0
3	5	RAMP2	81.55239	4.6319423	0.0	0.0
3	6	SPARCL1	78.73323	4.3290462	0.0	0.0
3	7	TMSB10	77.52899	2.810569	0.0	0.0
3	8	CALCRL	77.04905	6.2211323	0.0	0.0
3	9	GIMAP7	77.00688	7.420649	0.0	0.0
3	10	EGFL7	76.25079	7.204637	0.0	0.0
3	11	TM4SF1	75.922455	3.7554097	0.0	0.0
3	12	ECSCR	75.8014	8.855275	0.0	0.0
3	13	PLVAP	75.69875	9.475728	0.0	0.0
3	14	ADGRL4	74.89354	9.416826	0.0	0.0
3	15	ITGA6	74.600815	5.3029428	0.0	0.0
3	16	CLEC14A	73.580124	8.561722	0.0	0.0
3	17	B2M	72.79873	1.6052412	0.0	0.0
3	18	SOX18	71.72503	9.313457	0.0	0.0
3	19	CD93	71.66651	7.4970326	0.0	0.0
3	20	HLA-E	66.1557	2.308037	0.0	0.0
3	21	CD34	66.05389	4.5810943	0.0	0.0
3	22	SYNE2	65.68942	4.126619	0.0	0.0
3	23	CD74	64.80914	4.533106	0.0	0.0
3	24	PDLIM1	63.88908	3.574624	0.0	0.0
3	25	ESAM	63.162994	5.7475595	0.0	0.0
3	26	GIMAP4	61.664165	6.5202885	0.0	0.0
3	27	SLC9A3R2	61.374287	4.3100257	0.0	0.0
3	28	ITM2A	61.252846	3.846944	0.0	0.0
3	29	SPRY1	60.355446	4.507019	0.0	0.0
3	30	PCAT19	60.158264	8.5531225	0.0	0.0
3	31	HLA-DRB1	60.093426	4.0901623	0.0	0.0
3	32	BCAM	59.628033	5.710322	0.0	0.0
3	33	MTUS1	58.885906	3.1010346	0.0	0.0
3	34	CAV1	58.33303	2.333729	0.0	0.0
3	35	GIMAP1	58.083553	6.683944	0.0	0.0
3	36	RAMP3	58.079697	7.597599	0.0	0.0
3	37	NPDC1	57.80679	2.9317725	0.0	0.0
3	38	MGST2	57.108463	3.6051285	0.0	0.0
3	39	CDH5	56.98179	8.983144	0.0	0.0
3	40	AQP1	56.620445	3.0341284	0.0	0.0
3	41	A2M	56.60779	2.9149296	0.0	0.0
3	42	FLT1	56.366714	4.658137	0.0	0.0
3	43	CYYR1	55.743538	9.186358	0.0	0.0
3	44	ARHGAP29	55.17738	3.0982158	0.0	0.0
3	45	MYH9	54.671875	2.8011086	0.0	0.0
3	46	EPAS1	54.62618	3.0420127	0.0	0.0
3	47	MYCT1	54.540607	9.425927	0.0	0.0
3	48	RNASE1	54.181763	4.37183	0.0	0.0
3	49	ELK3	53.459106	2.8033612	0.0	0.0
3	50	TMSB4X	53.448185	2.1470728	0.0	0.0
3	51	VWF	53.25774	8.709155	0.0	0.0
3	52	TSPAN7	53.173157	5.2233787	0.0	0.0
3	53	CLEC2B	53.02203	4.659682	0.0	0.0
3	54	TM4SF18	51.89066	9.549572	0.0	0.0
3	55	PTPRB	51.840836	8.342621	0.0	0.0
3	56	ETS2	50.945362	2.7867796	0.0	0.0
3	57	HYAL2	50.5977	4.130341	0.0	0.0
3	58	HSPG2	50.4556	2.8217716	0.0	0.0
3	59	HLA-B	50.442535	1.7842294	0.0	0.0
3	60	FKBP1A	50.31186	2.3827024	0.0	0.0
3	61	MYL12A	50.01848	1.8623636	0.0	0.0
3	62	TCF4	49.44048	2.1088653	0.0	0.0
3	63	MEF2C	49.340626	2.8432364	0.0	0.0
3	64	PODXL	49.31082	6.2220592	0.0	0.0
3	65	SPTBN1	48.764935	2.2631886	0.0	0.0
3	66	MMRN2	48.633232	5.885327	0.0	0.0
3	67	KLF2	47.771996	2.2517135	0.0	0.0
3	68	CAVIN2	47.47218	4.9171605	0.0	0.0
3	69	JAM2	47.363075	4.172371	0.0	0.0
3	70	ENG	47.321953	3.1620696	0.0	0.0
3	71	HLA-DRA	47.209362	3.926215	0.0	0.0
3	72	ACKR1	47.01212	8.273109	0.0	0.0
3	73	NEDD9	46.944256	3.9445333	0.0	0.0
3	74	LMCD1	46.89114	2.8381364	0.0	0.0
3	75	MCTP1	46.121902	5.962751	0.0	0.0
3	76	NRP1	45.947296	3.2134094	0.0	0.0
3	77	CAV2	44.952755	2.3463423	0.0	0.0
3	78	FABP5	44.90428	3.4975212	0.0	0.0
3	79	KANK3	44.66858	6.813546	0.0	0.0
